"Quantum state","probability"
"00000000	","0.028"
"00000001	","0.011"
"00000010	","0.004"
"00000011	","0.006"
"00000100	","0.021"
"00000101	","0.009"
"00000110	","0.003"
"00000111	","0.002"
"00001000	","0.019"
"00001001	","0.009"
"00001010	","0.013"
"00001011	","0.009"
"00001100	","0.012"
"00001101	","0.005"
"00001110	","0.006"
"00001111	","0.002"
"00010000	","0.013"
"00010001	","0.009"
"00010010	","0.004"
"00010011	","0.003"
"00010100	","0.005"
"00010101	","0.006"
"00010110	","0.005"
"00010111	","0.003"
"00011000	","0.013"
"00011001	","0.006"
"00011010	","0.001"
"00011011	","0.003"
"00011100	","0.009"
"00011101	","0.003"
"00011110	","0.005"
"00011111	","0.002"
"00100000	","0.012"
"00100001	","0.008"
"00100010	","0.007"
"00100011	","0.002"
"00100100	","0.019"
"00100101	","0.005"
"00100110	","0.003"
"00100111	","0.004"
"00101000	","0.011"
"00101001	","0.005"
"00101010	","0.007"
"00101011	","0.006"
"00101100	","0.012"
"00101101	","0.007"
"00101110	","0.002"
"00101111	","0.007"
"00110000	","0.007"
"00110001	","0.006"
"00110010	","0.002"
"00110011	","0.003"
"00110100	","0.008"
"00110101	","0.002"
"00110110	","0.005"
"00110111	","0.001"
"00111000	","0.005"
"00111001	","0.003"
"00111010	","0.001"
"00111011	","0.002"
"00111100	","0.005"
"00111101	","0.002"
"00111110	","0.003"
"00111111	","0.001"
"01000000	","0.017"
"01000001	","0.006"
"01000010	","0.005"
"01000011	","0.002"
"01000100	","0.006"
"01000101	","0.005"
"01000110	","0.005"
"01000111	","0.003"
"01001000	","0.011"
"01001001	","0.004"
"01001010	","0.004"
"01001011	","0.003"
"01001100	","0.008"
"01001101	","0.005"
"01001110	","0.004"
"01001111	","0.001"
"01010000	","0.005"
"01010001	","0.003"
"01010010	","0.005"
"01010011	","0.002"
"01010100	","0.009"
"01010101	","0.003"
"01010110	","0.005"
"01010111	","0.001"
"01011000	","0.008"
"01011001	","0.002"
"01011010	","0.008"
"01011100	","0.004"
"01011101	","0.003"
"01011111	","0.001"
"01100000	","0.005"
"01100001	","0.003"
"01100010	","0.008"
"01100011	","0.003"
"01100100	","0.008"
"01100101	","0.005"
"01100110	","0.003"
"01100111	","0.003"
"01101000	","0.008"
"01101001	","0.003"
"01101010	","0.005"
"01101011	","0.002"
"01101100	","0.003"
"01101101	","0.005"
"01101111	","0.002"
"01110000	","0.008"
"01110001	","0.002"
"01110010	","0.003"
"01110011	","0.002"
"01110100	","0.003"
"01110101	","0.001"
"01110110	","0.004"
"01111000	","0.007"
"01111001	","0.003"
"01111011	","0.001"
"01111100	","0.003"
"01111110	","0.001"
"10000000	","0.011"
"10000001	","0.005"
"10000010	","0.002"
"10000011	","0.005"
"10000100	","0.01"
"10000101	","0.005"
"10000110	","0.004"
"10000111	","0.001"
"10001000	","0.013"
"10001001	","0.005"
"10001010	","0.005"
"10001011	","0.006"
"10001100	","0.006"
"10001101	","0.006"
"10001110	","0.005"
"10001111	","0.002"
"10010000	","0.003"
"10010001	","0.004"
"10010010	","0.004"
"10010011	","0.001"
"10010100	","0.006"
"10010101	","0.001"
"10010110	","0.004"
"10011000	","0.004"
"10011001	","0.004"
"10011011	","0.001"
"10011100	","0.003"
"10011101	","0.005"
"10100000	","0.008"
"10100001	","0.004"
"10100010	","0.002"
"10100011	","0.003"
"10100100	","0.003"
"10100101	","0.003"
"10100110	","0.002"
"10101000	","0.006"
"10101001	","0.004"
"10101010	","0.002"
"10101100	","0.007"
"10101110	","0.002"
"10101111	","0.002"
"10110000	","0.007"
"10110001	","0.004"
"10110010	","0.001"
"10110011	","0.001"
"10110100	","0.002"
"10110101	","0.001"
"10110110	","0.001"
"10111000	","0.003"
"10111001	","0.002"
"10111011	","0.001"
"10111101	","0.001"
"10111110	","0.001"
"10111111	","0.002"
"11000000	","0.007"
"11000001	","0.004"
"11000011	","0.002"
"11000100	","0.004"
"11000101	","0.003"
"11000110	","0.004"
"11001000	","0.008"
"11001001	","0.002"
"11001010	","0.004"
"11001011	","0.001"
"11001100	","0.005"
"11001101	","0.002"
"11010000	","0.002"
"11010001	","0.002"
"11010010	","0.001"
"11010011	","0.002"
"11010100	","0.003"
"11010101	","0.001"
"11011000	","0.002"
"11011001	","0.004"
"11011010	","0.002"
"11011100	","0.001"
"11011101	","0.002"
"11100000	","0.004"
"11100001	","0.002"
"11100010	","0.003"
"11100100	","0.004"
"11100101	","0.002"
"11100110	","0.002"
"11100111	","0.002"
"11101000	","0.006"
"11101001	","0.002"
"11101010	","0.002"
"11101100	","0.004"
"11101101	","0.001"
"11101110	","0.002"
"11101111	","0.001"
"11110000	","0.001"
"11110001	","0.002"
"11110010	","0.001"
"11110100	","0.003"
"11110111	","0.002"
"11111000	","0.003"
"11111001	","0.001"
"11111101	","0.001"
"11111111	","0.001"
