"Quantum state","probability"
"0000000000	","0.016"
"0000000010	","0.009"
"0000000011	","0.002"
"0000000100	","0.01"
"0000000101	","0.001"
"0000000110	","0.001"
"0000001000	","0.004"
"0000001010	","0.003"
"0000001100	","0.002"
"0000001110	","0.001"
"0000010000	","0.003"
"0000010010	","0.001"
"0000010011	","0.001"
"0000010100	","0.002"
"0000010101	","0.001"
"0000011000	","0.002"
"0000011100	","0.001"
"0000100000	","0.008"
"0000100001	","0.004"
"0000100010	","0.005"
"0000100011	","0.002"
"0000100100	","0.006"
"0000100101	","0.001"
"0000100111	","0.001"
"0000101000	","0.004"
"0000101011	","0.001"
"0000101100	","0.002"
"0000101101	","0.001"
"0000101110	","0.001"
"0000110000	","0.001"
"0000110001	","0.001"
"0000110010	","0.001"
"0000110011	","0.002"
"0000110100	","0.001"
"0000110110	","0.001"
"0000111100	","0.001"
"0000111110	","0.001"
"0001000000	","0.009"
"0001000001	","0.002"
"0001000010	","0.002"
"0001000011	","0.001"
"0001000100	","0.001"
"0001001000	","0.005"
"0001001010	","0.001"
"0001001100	","0.001"
"0001010000	","0.003"
"0001010010	","0.001"
"0001010100	","0.004"
"0001010101	","0.001"
"0001011001	","0.001"
"0001011100	","0.001"
"0001011110	","0.001"
"0001100000	","0.003"
"0001100011	","0.002"
"0001100100	","0.002"
"0001100101	","0.002"
"0001101000	","0.002"
"0001101001	","0.001"
"0001101010	","0.001"
"0001101100	","0.001"
"0001101110	","0.001"
"0001110000	","0.004"
"0001110010	","0.002"
"0001111001	","0.001"
"0001111101	","0.001"
"0010000000	","0.006"
"0010000001	","0.001"
"0010000010	","0.004"
"0010000011	","0.002"
"0010000100	","0.003"
"0010000110	","0.001"
"0010000111	","0.001"
"0010001000	","0.006"
"0010001001	","0.002"
"0010001010	","0.002"
"0010001100	","0.001"
"0010001101	","0.001"
"0010010000	","0.003"
"0010010001	","0.001"
"0010010100	","0.002"
"0010011100	","0.001"
"0010100000	","0.007"
"0010100001	","0.003"
"0010100010	","0.003"
"0010100111	","0.001"
"0010101000	","0.004"
"0010101001	","0.002"
"0010101010	","0.001"
"0010101100	","0.001"
"0010101101	","0.001"
"0010110000	","0.002"
"0010110001	","0.001"
"0010110010	","0.002"
"0010110100	","0.001"
"0010110110	","0.001"
"0010111000	","0.001"
"0010111100	","0.001"
"0011000000	","0.011"
"0011000010	","0.005"
"0011000100	","0.002"
"0011000101	","0.003"
"0011000110	","0.001"
"0011001000	","0.001"
"0011001001	","0.001"
"0011001100	","0.001"
"0011010000	","0.004"
"0011010100	","0.001"
"0011100000	","0.007"
"0011100001	","0.001"
"0011100010	","0.002"
"0011100011	","0.001"
"0011100110	","0.002"
"0011101100	","0.001"
"0011101111	","0.001"
"0011110000	","0.002"
"0011111001	","0.001"
"0100000000	","0.008"
"0100000001	","0.002"
"0100000010	","0.002"
"0100000011	","0.004"
"0100000100	","0.002"
"0100000101	","0.002"
"0100000110	","0.001"
"0100000111	","0.001"
"0100001000	","0.003"
"0100001001	","0.002"
"0100001010	","0.003"
"0100001011	","0.001"
"0100001100	","0.001"
"0100001101	","0.002"
"0100010010	","0.001"
"0100010100	","0.001"
"0100011000	","0.002"
"0100011010	","0.001"
"0100100000	","0.008"
"0100100001	","0.002"
"0100100010	","0.005"
"0100100011	","0.004"
"0100100100	","0.003"
"0100100101	","0.002"
"0100100110	","0.001"
"0100101000	","0.004"
"0100101001	","0.001"
"0100101101	","0.001"
"0100110000	","0.002"
"0100110001	","0.001"
"0100110010	","0.002"
"0100110011	","0.001"
"0100110110	","0.001"
"0100111011	","0.001"
"0100111100	","0.003"
"0101000000	","0.006"
"0101000001	","0.004"
"0101000010	","0.003"
"0101000011	","0.003"
"0101000100	","0.005"
"0101000101	","0.001"
"0101000110	","0.001"
"0101000111	","0.001"
"0101001000	","0.002"
"0101001001	","0.002"
"0101001011	","0.001"
"0101010000	","0.001"
"0101010011	","0.001"
"0101010100	","0.002"
"0101010101	","0.001"
"0101011000	","0.002"
"0101100000	","0.008"
"0101100001	","0.003"
