"Quantum state","probability"
"0000000000	","0.016"
"0101100010	","0.003"
"0101100100	","0.001"
"0101101000	","0.002"
"0101101010	","0.001"
"0101101101	","0.001"
"0101101110	","0.002"
"0101110001	","0.002"
"0101110010	","0.001"
"0101110011	","0.001"
"0101110100	","0.001"
"0110000000	","0.004"
"0110000010	","0.001"
"0110000100	","0.001"
"0110000101	","0.001"
"0110000110	","0.002"
"0110001000	","0.004"
"0110001001	","0.002"
"0110001010	","0.005"
"0110001100	","0.001"
"0110001101	","0.001"
"0110010000	","0.001"
"0110010001	","0.001"
"0110010110	","0.002"
"0110011000	","0.003"
"0110011010	","0.001"
"0110011100	","0.001"
"0110100000	","0.009"
"0110100001	","0.001"
"0110100011	","0.001"
"0110100100	","0.001"
"0110100101	","0.001"
"0110100111	","0.002"
"0110101000	","0.001"
"0110101001	","0.002"
"0110101011	","0.001"
"0110110000	","0.003"
"0110110001	","0.001"
"0110110010	","0.002"
"0110110100	","0.002"
"0110111001	","0.001"
"0110111110	","0.001"
"0111000000	","0.003"
"0111000010	","0.001"
"0111000100	","0.002"
"0111000110	","0.001"
"0111001000	","0.002"
"0111001001	","0.002"
"0111001010	","0.003"
"0111001101	","0.001"
"0111010000	","0.002"
"0111010001	","0.001"
"0111010010	","0.001"
"0111010100	","0.001"
"0111010101	","0.001"
"0111100000	","0.002"
"0111100010	","0.001"
"0111100011	","0.001"
"0111100110	","0.001"
"0111100111	","0.001"
"0111101000	","0.001"
"0111101010	","0.002"
"0111101110	","0.001"
"0111110000	","0.002"
"0111110100	","0.002"
"0111111010	","0.001"
"1000000000	","0.018"
"1000000001	","0.004"
"1000000010	","0.003"
"1000000011	","0.001"
"1000000100	","0.002"
"1000000101	","0.001"
"1000000110	","0.002"
"1000000111	","0.001"
"1000001000	","0.006"
"1000001001	","0.001"
"1000001010	","0.002"
"1000001100	","0.001"
"1000001101	","0.001"
"1000001111	","0.001"
"1000010000	","0.005"
"1000010001	","0.001"
"1000010010	","0.005"
"1000010100	","0.002"
"1000010110	","0.002"
"1000011000	","0.001"
"1000011010	","0.001"
"1000011011	","0.001"
"1000100000	","0.005"
"1000100001	","0.004"
"1000100010	","0.004"
"1000100100	","0.004"
"1000100101	","0.002"
"1000100110	","0.002"
"1000101000	","0.005"
"1000101001	","0.002"
"1000101010	","0.001"
"1000101011	","0.001"
"1000101100	","0.001"
"1000101101	","0.001"
"1000101110	","0.001"
"1000110000	","0.002"
"1000110010	","0.002"
"1000110100	","0.002"
"1000111000	","0.001"
"1000111110	","0.001"
"1001000000	","0.005"
"1001000001	","0.002"
"1001000010	","0.002"
"1001000011	","0.001"
"1001000100	","0.004"
"1001000101	","0.001"
"1001000110	","0.001"
"1001001000	","0.003"
"1001001010	","0.001"
"1001010000	","0.003"
"1001010010	","0.001"
"1001010100	","0.001"
"1001011000	","0.001"
"1001100000	","0.009"
"1001100010	","0.003"
"1001100100	","0.003"
"1001100111	","0.001"
"1001101000	","0.002"
"1001101001	","0.001"
"1001101010	","0.001"
"1001101011	","0.001"
"1001101100	","0.003"
"1001111100	","0.001"
"1001111111	","0.001"
"1010000000	","0.007"
"1010000001	","0.002"
"1010000010	","0.001"
"1010000011	","0.002"
"1010000100	","0.001"
"1010001000	","0.004"
"1010001001	","0.002"
"1010001010	","0.001"
"1010001101	","0.001"
"1010001111	","0.001"
"1010010000	","0.003"
"1010010010	","0.001"
"1010010011	","0.001"
"1010010100	","0.001"
"1010010110	","0.001"
"1010010111	","0.001"
"1010011010	","0.001"
"1010011100	","0.001"
"1010100000	","0.007"
"1010100001	","0.002"
"1010100010	","0.001"
"1010100100	","0.001"
"1010101001	","0.001"
"1010101011	","0.001"
"1010101100	","0.001"
"1010101110	","0.001"
"1010110000	","0.004"
"1010110010	","0.004"
"1010110110	","0.001"
"1010110111	","0.001"
"1010111000	","0.001"
"1010111001	","0.001"
"1010111010	","0.001"
"1011000000	","0.007"
"1011000010	","0.004"
"1011000100	","0.002"
"1011000101	","0.001"
"1011001000	","0.003"
"1011001010	","0.001"
"1011001100	","0.001"
"1011010000	","0.001"
"1011100000	","0.002"
"1011100001	","0.003"
"1011100010	","0.002"
"1011100011	","0.002"
"1011100100	","0.002"
"1011100101	","0.001"
"1011100110	","0.002"
"1011101001	","0.002"
"1011101011	","0.001"
"1011101101	","0.001"
"1011101110	","0.002"
"1011110000	","0.002"
"1011110010	","0.001"
"1011111001	","0.001"
"1100000000	","0.011"
"1100000001	","0.002"
"1100000010	","0.001"
"1100000011	","0.001"
"1100000100	","0.003"
"1100000101	","0.001"
"1100000110	","0.001"
"1100000111	","0.002"
"1100001000	","0.009"
"1100001011	","0.001"
"1100001100	","0.002"
"1100001101	","0.002"
"1100010000	","0.003"
"1100010001	","0.001"
"1100010100	","0.001"
"1100010101	","0.001"
"1100011000	","0.002"
"1100011110	","0.001"
"1100100000	","0.01"
"1100100001	","0.005"
"1100100010	","0.001"
"1100100100	","0.002"
"1100100110	","0.001"
"1100101000	","0.005"
"1100101001	","0.001"
"1100101010	","0.001"
"1100101100	","0.001"
"1100110000	","0.002"
"1100110001	","0.001"
"1100110110	","0.001"
"1100111001	","0.001"
"1101000000	","0.007"
"1101000010	","0.006"
"1101000100	","0.002"
"1101000110	","0.001"
"1101001000	","0.003"
"1101001001	","0.001"
"1101001010	","0.001"
"1101001100	","0.001"
"1101010000	","0.002"
"1101010001	","0.001"
"1101010100	","0.001"
"1101010111	","0.001"
"1101011000	","0.001"
"1101100000	","0.009"
"1101100001	","0.002"
"1101100010	","0.005"
"1101100011	","0.001"
"1101100100	","0.001"
"1101100101	","0.001"
"1101101000	","0.003"
"1101101001	","0.002"
"1101101010	","0.001"
"1101101100	","0.001"
"1101110100	","0.002"
"1101110101	","0.001"
"1101110110	","0.001"
"1110000000	","0.01"
"1110000001	","0.004"
"1110000010	","0.002"
"1110000100	","0.004"
"1110000110	","0.002"
"1110001000	","0.004"
"1110001001	","0.002"
"1110001010	","0.001"
"1110010000	","0.002"
"1110010010	","0.001"
"1110010101	","0.001"
"1110010110	","0.001"
"1110011100	","0.001"
"1110100000	","0.002"
"1110100001	","0.002"
"1110100010	","0.004"
"1110100100	","0.001"
"1110101000	","0.001"
"1110101100	","0.002"
"1110110000	","0.003"
"1110110001	","0.001"
"1110110110	","0.001"
"1111000000	","0.004"
"1111000001	","0.003"
"1111000100	","0.002"
"1111000101	","0.002"
"1111000110	","0.001"
"1111001010	","0.001"
"1111010000	","0.003"
"1111010010	","0.001"
"1111100000	","0.004"
"1111100010	","0.001"
"1111100100	","0.002"
"1111100110	","0.001"
"1111101000	","0.002"
"1111101001	","0.001"
"1111101010	","0.002"
"1111101011	","0.001"
"1111101100	","0.002"
"1111110000	","0.002"
"1111111000	","0.001"
