"Quantum state","probability"
"000000	","0.098"
"000001	","0.04"
"000010	","0.048"
"000011	","0.016"
"000100	","0.036"
"000101	","0.015"
"000110	","0.021"
"000111	","0.008"
"001000	","0.024"
"001001	","0.007"
"001010	","0.018"
"001011	","0.003"
"001100	","0.008"
"001101	","0.004"
"001110	","0.014"
"001111	","0.002"
"010000	","0.059"
"010001	","0.016"
"010010	","0.024"
"010011	","0.009"
"010100	","0.022"
"010101	","0.001"
"010110	","0.014"
"010111	","0.006"
"011000	","0.009"
"011001	","0.004"
"011010	","0.01"
"011011	","0.006"
"011100	","0.005"
"011101	","0.001"
"011110	","0.001"
"011111	","0.001"
"100000	","0.068"
"100001	","0.025"
"100010	","0.039"
"100011	","0.017"
"100100	","0.027"
"100101	","0.012"
"100110	","0.015"
"100111	","0.005"
"101000	","0.024"
"101001	","0.003"
"101010	","0.012"
"101011	","0.001"
"101100	","0.011"
"101101	","0.001"
"101110	","0.008"
"101111	","0.001"
"110000	","0.039"
"110001	","0.022"
"110010	","0.023"
"110011	","0.007"
"110100	","0.022"
"110101	","0.012"
"110110	","0.013"
"110111	","0.007"
"111000	","0.006"
"111001	","0.006"
"111010	","0.008"
"111011	","0.005"
"111100	","0.005"
"111101	","0.003"
"111110	","0.002"
"111111	","0.001"
