"Quantum state","probability"
"00000	","0.072"
"00001	","0.053"
"00010	","0.042"
"00011	","0.022"
"00100	","0.042"
"00101	","0.025"
"00110	","0.021"
"00111	","0.014"
"01000	","0.066"
"01001	","0.032"
"01010	","0.038"
"01011	","0.017"
"01100	","0.042"
"01101	","0.014"
"01110	","0.017"
"01111	","0.009"
"10000	","0.064"
"10001	","0.04"
"10010	","0.025"
"10011	","0.019"
"10100	","0.028"
"10101	","0.014"
"10110	","0.025"
"10111	","0.005"
"11000	","0.068"
"11001	","0.03"
"11010	","0.039"
"11011	","0.024"
"11100	","0.037"
"11101	","0.028"
"11110	","0.016"
"11111	","0.012"
