"Quantum state","probability"
"0000000	","0.013687639497220516"
"0000001	","0.021475395187735558"
"0000010	","0.0019326474284753203"
"0000011	","0.0006300313398241997"
"0000100	","0.007162785157561302"
"0000101	","0.0008510127081535757"
"0000110	","1.1917576614450809e-7"
"0000111	","0.0006369531620293856"
"0001000	","0.0028322767466306686"
"0001001	","0.0009624389931559563"
"0001010	","0.000021415489754872397"
"0001011	","0.00008810230065137148"
"0001100	","0.00004384482235764153"
"0001101	","0.00008671943214721978"
"0001110	","0.008640171028673649"
"0001111	","2.3022508344183734e-8"
"0010000	","0.007181190419942141"
"0010001	","0.009013584814965725"
"0010010	","0.005718379281461239"
"0010011	","0.004465121775865555"
"0010100	","0.0068725659511983395"
"0010101	","0.00033450796036049724"
"0010110	","0.002754458924755454"
"0010111	","0.000012435134522092994"
"0011000	","0.01698124408721924"
"0011001	","0.0017406783299520612"
"0011010	","0.0005420593661256135"
"0011011	","0.002513958839699626"
"0011100	","0.002198719885200262"
"0011110	","0.0001073646781151183"
"0011111	","0.00004237094981363043"
"0100000	","0.017555320635437965"
"0100001	","0.008813600987195969"
"0100010	","0.022722138091921806"
"0100011	","0.00005082094139652327"
"0100100	","0.0053780339658260345"
"0100101	","0.0008739173645153642"
"0100110	","0.00006055936682969332"
"0100111	","0.0010775405680760741"
"0101000	","0.005075227003544569"
"0101001	","0.00015908820205368102"
"0101010	","0.008793818764388561"
"0101011	","0.002822894835844636"
"0101100	","0.000015476673070224933"
"0101101	","0.0023200439754873514"
"0101110	","0.003431105287745595"
"0101111	","0.00013030049740336835"
"0110000	","0.0006749288295395672"
"0110001	","0.00009806086018215865"
"0110010	","0.018574146553874016"
"0110011	","0.004871987737715244"
"0110100	","0.002065717475488782"
"0110101	","0.013531255535781384"
"0110110	","0.0007752446108497679"
"0110111	","0.006776913069188595"
"0111000	","0.00754629448056221"
"0111001	","0.007131462451070547"
"0111010	","0.005000567529350519"
"0111011	","1.7993200263077824e-9"
"0111100	","0.0005094552179798484"
"0111101	","0.00028519509942270815"
"0111110	","0.008172241039574146"
"0111111	","0.0003790892078541219"
"1000000	","0.00017663140897639096"
"1000001	","0.005686923395842314"
"1000010	","0.0016061196802183986"
"1000011	","0.01263378094881773"
"1000100	","0.01590818725526333"
"1000101	","0.006127357482910156"
"1000110	","0.0007318268180824816"
"1000111	","0.0016686307499185205"
"1001000	","0.01048212219029665"
"1001001	","0.0026572830975055695"
"1001010	","0.030780207365751266"
"1001011	","0.0004277310217730701"
"1001100	","0.0025105122476816177"
"1001101	","0.0006589913391508162"
"1001110	","0.0008721753256395459"
"1001111	","0.009865610860288143"
"1010000	","0.034877702593803406"
"1010001	","0.00005081728522782214"
"1010010	","0.008110174909234047"
"1010011	","0.0000973532150965184"
"1010100	","0.000021488958736881614"
"1010101	","0.002117147669196129"
"1010110	","0.02180984430015087"
"1010111	","0.0006504632765427232"
"1011000	","0.0023775543086230755"
"1011001	","0.000619666010607034"
"1011010	","0.000034085802326444536"
"1011011	","0.0047886124812066555"
"1011100	","0.0012164133368059993"
"1011101	","0.00010055897291749716"
"1011110	","0.01292906142771244"
"1011111	","0.0002225122880190611"
"1100000	","0.10116298496723175"
"1100001	","0.000011271154107816983"
"1100010	","0.03277653083205223"
"1100011	","0.014589094556868076"
"1100100	","0.00991041213274002"
"1100101	","0.0344836488366127"
"1100110	","0.03252526372671127"
"1100111	","0.014209922403097153"
"1101000	","0.01750505343079567"
"1101001	","0.024472681805491447"
"1101010	","0.01599586009979248"
"1101011	","0.0003931483661290258"
"1101100	","0.018379541113972664"
"1101110	","0.00005528911424335092"
"1110000	","0.019863901659846306"
"1110001	","0.009996604174375534"
"1110010	","0.030161602422595024"
"1110011	","0.01612187549471855"
"1110100	","0.07278073579072952"
"1110101	","0.000385113904485479"
"1110110	","0.011532393284142017"
"1110111	","0.00016824754129629582"
"1111000	","0.024658121168613434"
"1111001	","0.003986431751400232"
"1111010	","0.000006340259915305069"
"1111011	","0.018510887399315834"
"1111100	","0.0004374691634438932"
"1111101	","0.006899180822074413"
